,n,const,sum,prod,simple_poly,horner_poly,bubble_sort,quicksort,timsort,matrix_dot
0,1.0,1.2874603271484376e-06,8.740425109863282e-05,1.7976760864257814e-05,2.8848648071289062e-05,1.068115234375e-05,2.5272369384765624e-06,2.2649765014648438e-05,2.9087066650390623e-06,1.5115737915039062e-05
1,2.0,8.106231689453125e-07,1.7595291137695312e-05,1.3303756713867187e-05,3.452301025390625e-05,1.3780593872070312e-05,5.626678466796875e-06,1.3589859008789062e-05,2.0503997802734374e-06,1.4352798461914063e-05
2,3.0,6.67572021484375e-07,1.7404556274414062e-05,1.1682510375976562e-05,2.231597900390625e-05,1.7261505126953126e-05,6.532669067382812e-06,1.2063980102539063e-05,3.0517578125e-06,1.087188720703125e-05
3,4.0,5.7220458984375e-07,1.5926361083984374e-05,1.0633468627929688e-05,2.5796890258789063e-05,1.8405914306640626e-05,1.125335693359375e-05,1.1920928955078125e-05,2.1457672119140625e-06,9.918212890625e-06
4,5.0,4.76837158203125e-07,1.6689300537109375e-05,1.0442733764648437e-05,2.8562545776367187e-05,1.94549560546875e-05,2.1123886108398436e-05,1.0919570922851562e-05,1.621246337890625e-06,1.0204315185546874e-05
5,6.0,7.62939453125e-07,1.9502639770507812e-05,1.316070556640625e-05,2.9134750366210938e-05,1.6927719116210938e-05,1.2350082397460937e-05,1.0204315185546874e-05,1.430511474609375e-06,1.2254714965820312e-05
6,7.0,4.291534423828125e-07,1.068115234375e-05,7.104873657226563e-06,2.1409988403320312e-05,1.6307830810546876e-05,1.583099365234375e-05,6.246566772460937e-06,1.0967254638671874e-06,5.674362182617188e-06
7,8.0,3.337860107421875e-07,9.1552734375e-06,5.53131103515625e-06,2.3937225341796876e-05,1.845359802246094e-05,2.0170211791992186e-05,6.961822509765625e-06,1.2874603271484376e-06,6.151199340820313e-06
8,9.0,3.814697265625e-07,9.441375732421875e-06,5.626678466796875e-06,2.7370452880859374e-05,2.1505355834960938e-05,2.8705596923828126e-05,6.866455078125e-06,1.049041748046875e-06,5.865097045898438e-06
9,10.0,3.814697265625e-07,9.012222290039062e-06,5.769729614257812e-06,2.8657913208007813e-05,2.255439758300781e-05,2.8371810913085938e-05,6.341934204101563e-06,1.1444091796875e-06,5.340576171875e-06
